Mod:Item:MetaData, Localized Name
biomesoplenty:cherry_fence:0, Cherry Fence
biomesoplenty:umbran_fence:0, Umbran Fence
biomesoplenty:fir_fence:0, Fir Fence
biomesoplenty:ethereal_fence:0, Ethereal Fence
biomesoplenty:magic_fence:0, Magic Fence
biomesoplenty:mangrove_fence:0, Mangrove Fence
biomesoplenty:palm_fence:0, Palm Fence
biomesoplenty:redwood_fence:0, Redwood Fence
biomesoplenty:willow_fence:0, Willow Fence
biomesoplenty:pine_fence:0, Pine Fence
biomesoplenty:hellbark_fence:0, Hellbark Fence
biomesoplenty:jacaranda_fence:0, Jacaranda Fence
biomesoplenty:mahogany_fence:0, Mahogany Fence
biomesoplenty:ebony_fence:0, Ebony Fence
biomesoplenty:eucalyptus_fence:0, Eucalyptus Fence
biomesoplenty:sacred_oak_fence_gate:0, Sacred Oak Fence Gate
biomesoplenty:cherry_fence_gate:0, Cherry Fence Gate
biomesoplenty:umbran_fence_gate:0, Umbran Fence Gate
biomesoplenty:fir_fence_gate:0, Fir Fence Gate
biomesoplenty:ethereal_fence_gate:0, Ethereal Fence Gate
biomesoplenty:magic_fence_gate:0, Magic Fence Gate
biomesoplenty:mangrove_fence_gate:0, Mangrove Fence Gate
biomesoplenty:palm_fence_gate:0, Palm Fence Gate
biomesoplenty:redwood_fence_gate:0, Redwood Fence Gate
biomesoplenty:willow_fence_gate:0, Willow Fence Gate
biomesoplenty:pine_fence_gate:0, Pine Fence Gate
biomesoplenty:hellbark_fence_gate:0, Hellbark Fence Gate
biomesoplenty:jacaranda_fence_gate:0, Jacaranda Fence Gate
biomesoplenty:mahogany_fence_gate:0, Mahogany Fence Gate
biomesoplenty:ebony_fence_gate:0, Ebony Fence Gate
biomesoplenty:eucalyptus_fence_gate:0, Eucalyptus Fence Gate
biomesoplenty:sacred_oak_door, Sacred Oak Door
biomesoplenty:cherry_door, Cherry Door
biomesoplenty:umbran_door, Umbran Door
biomesoplenty:fir_door, Fir Door
biomesoplenty:ethereal_door, Ethereal Door
biomesoplenty:magic_door, Magic Door
biomesoplenty:mangrove_door, Mangrove Door
biomesoplenty:palm_door, Palm Door
biomesoplenty:redwood_door, Redwood Door
biomesoplenty:willow_door, Willow Door
biomesoplenty:pine_door, Pine Door
biomesoplenty:hellbark_door, Hellbark Door
biomesoplenty:jacaranda_door, Jacaranda Door
biomesoplenty:mahogany_door, Mahogany Door
biomesoplenty:ebony_door, Ebony Door
biomesoplenty:eucalyptus_door, Eucalyptus Door
biomesoplenty:coral:0, Pink Coral
biomesoplenty:coral:1, Orange Coral
biomesoplenty:coral:2, Blue Coral
biomesoplenty:coral:3, Glowing Coral
biomesoplenty:coral:4, Algae
biomesoplenty:seaweed:0, Kelp
biomesoplenty:waterlily:0, Medium Lily Pad
biomesoplenty:waterlily:1, Small Lily Pad
biomesoplenty:waterlily:2, Tiny Lily Pad
biomesoplenty:waterlily:3, Flowered Lily
biomesoplenty:bamboo:0, Bamboo
biomesoplenty:sapling_0:0, Yellow Autumn Sapling
biomesoplenty:sapling_0:1, Orange Autumn Sapling
biomesoplenty:sapling_0:2, Bamboo Sapling
biomesoplenty:sapling_0:3, Magic Sapling
biomesoplenty:sapling_0:4, Umbran Sapling
biomesoplenty:sapling_0:5, Dead Sapling
biomesoplenty:sapling_0:6, Fir Sapling
biomesoplenty:sapling_0:7, Ethereal Sapling
biomesoplenty:sapling_1:0, Origin Sapling
biomesoplenty:sapling_1:1, Pink Cherry Sapling
biomesoplenty:sapling_1:2, White Cherry Sapling
biomesoplenty:sapling_1:3, Maple Sapling
biomesoplenty:sapling_1:4, Hellbark Sapling
biomesoplenty:sapling_1:5, Flowering Oak Sapling
biomesoplenty:sapling_1:6, Jacaranda Sapling
biomesoplenty:sapling_1:7, Sacred Oak Sapling
biomesoplenty:sapling_2:0, Mangrove Sapling
biomesoplenty:sapling_2:1, Palm Sapling
biomesoplenty:sapling_2:2, Redwood Sapling
biomesoplenty:sapling_2:3, Willow Sapling
biomesoplenty:sapling_2:4, Pine Sapling
biomesoplenty:sapling_2:5, Mahogany Sapling
biomesoplenty:sapling_2:6, Ebony Sapling
biomesoplenty:sapling_2:7, Eucalyptus Sapling
biomesoplenty:plant_0:0, Short Grass
biomesoplenty:plant_0:1, Medium Grass
biomesoplenty:plant_0:2, Bush
biomesoplenty:plant_0:3, Sprout
biomesoplenty:plant_0:4, Poison Ivy
biomesoplenty:plant_0:5, Berry Bush
biomesoplenty:plant_0:6, Shrub
biomesoplenty:plant_0:7, Wheat Grass
biomesoplenty:plant_0:8, Damp Grass
biomesoplenty:plant_0:9, Koru
biomesoplenty:plant_0:10, Clover Patch
biomesoplenty:plant_0:11, Leaf Pile
biomesoplenty:plant_0:12, Dead Leaf Pile
biomesoplenty:plant_0:13, Dead Grass
biomesoplenty:plant_0:14, Desert Grass
biomesoplenty:plant_0:15, Desert Sprouts
biomesoplenty:plant_1:0, Dune Grass
biomesoplenty:plant_1:1, Spectral Fern
biomesoplenty:plant_1:2, Thorns
biomesoplenty:plant_1:3, Wild Rice
biomesoplenty:plant_1:4, Cattail
biomesoplenty:plant_1:5, River Cane
biomesoplenty:plant_1:6, Tiny Cactus
biomesoplenty:plant_1:7, Devilweed
biomesoplenty:plant_1:8, Reed
biomesoplenty:plant_1:9, Root
biomesoplenty:plant_1:10, Rafflesia
biomesoplenty:plant_1:11, Barley
biomesoplenty:double_plant:0, Flax
biomesoplenty:double_plant:1, Tall Cattail
biomesoplenty:double_plant:2, Eyebulb
biomesoplenty:double_plant:3, Sea Oats
biomesoplenty:mushroom:0, Toadstool
biomesoplenty:mushroom:1, Portobello
biomesoplenty:mushroom:2, Blue Milk Cap
biomesoplenty:mushroom:3, Glowshroom
biomesoplenty:mushroom:4, Flat Mushroom
biomesoplenty:mushroom:5, Shadow Shroom
biomesoplenty:bramble_plant:0, Bramble
biomesoplenty:flower_0:0, Clover
biomesoplenty:flower_0:1, Swampflower
biomesoplenty:flower_0:2, Deathbloom
biomesoplenty:flower_0:3, Glowflower
biomesoplenty:flower_0:4, Blue Hydrangea
biomesoplenty:flower_0:5, Orange Cosmos
biomesoplenty:flower_0:6, Pink Dafodil
biomesoplenty:flower_0:7, Wildflower
biomesoplenty:flower_0:8, Violet
biomesoplenty:flower_0:9, White Anemone
biomesoplenty:flower_0:10, Enderlotus
biomesoplenty:flower_0:11, Bromeliad
biomesoplenty:flower_0:12, Wilted Lily
biomesoplenty:flower_0:13, Pink Hibiscus
biomesoplenty:flower_0:14, Lily of the Valley
biomesoplenty:flower_0:15, Burning Blossom
biomesoplenty:flower_1:0, Lavender
biomesoplenty:flower_1:1, Goldenrod
biomesoplenty:flower_1:2, Bluebells
biomesoplenty:flower_1:3, Miner's Delight
biomesoplenty:flower_1:4, Icy Iris
biomesoplenty:flower_1:5, Rose
biomesoplenty:ivy:0, Ivy
biomesoplenty:willow_vine:0, Willow Vine
biomesoplenty:terrarium:0, Fern Terrarium
biomesoplenty:terrarium:1, Mushroom Terrarium
biomesoplenty:terrarium:2, Cactus Terrarium
biomesoplenty:terrarium:3, Flax Terrarium
biomesoplenty:terrarium:4, Flower Terrarium
biomesoplenty:terrarium:5, Koru Terrarium
biomesoplenty:terrarium:6, Bamboo Terrarium
biomesoplenty:terrarium:7, Beach Terrarium
biomesoplenty:terrarium:8, Glowshroom Terrarium
biomesoplenty:terrarium:9, Dead Terrarium
biomesoplenty:terrarium:10, Mystic Terrarium
biomesoplenty:terrarium:11, Ominous Terrarium
biomesoplenty:terrarium:12, Wasteland Terrarium
biomesoplenty:terrarium:13, Origin Terrarium
biomesoplenty:terrarium:14, Nether Terrarium
biomesoplenty:terrarium:15, Ender Terrarium
biomesoplenty:jar_filled:0, Honey Jar
biomesoplenty:jar_filled:1, Blue Fire Jar
biomesoplenty:jar_empty, Empty Jar
biomesoplenty:boat_sacred_oak, Sacred Oak Boat
biomesoplenty:boat_cherry, Cherry Boat
biomesoplenty:boat_umbran, Umbran Boat
biomesoplenty:boat_fir, Fir Boat
biomesoplenty:boat_ethereal, Ethereal Boat
biomesoplenty:boat_magic, Magic Boat
biomesoplenty:boat_mangrove, Mangrove Boat
biomesoplenty:boat_palm, Palm Boat
biomesoplenty:boat_redwood, Redwood Boat
biomesoplenty:boat_willow, Willow Boat
biomesoplenty:boat_pine, Pine Boat
biomesoplenty:boat_hellbark, Hellbark Boat
biomesoplenty:boat_jacaranda, Jacaranda Boat
biomesoplenty:boat_mahogany, Mahogany Boat
biomesoplenty:boat_ebony, Ebony Boat
biomesoplenty:boat_eucalyptus, Eucalyptus Boat
biomesoplenty:biome_finder, Biome Finder
biomesoplenty:record_wanderer, Music Disc
biomesoplenty:mudball, Mud Ball
biomesoplenty:mud_brick, Mud Brick
biomesoplenty:ash, Pile of Ashes
biomesoplenty:fleshchunk, Chunk of Flesh
biomesoplenty:gem:0, Ender Amethyst
biomesoplenty:gem:1, Ruby
biomesoplenty:gem:2, Peridot
biomesoplenty:gem:3, Topaz
biomesoplenty:gem:4, Tanzanite
biomesoplenty:gem:5, Malachite
biomesoplenty:gem:6, Sapphire
biomesoplenty:gem:7, Amber
biomesoplenty:terrestrial_artifact, Terrestrial Artifact
biomesoplenty:crystal_shard, Celestial Crystal Shard
biomesoplenty:biome_essence, Biome Essence
biomesoplenty:berries, Berry
biomesoplenty:pear, Pear
biomesoplenty:peach, Peach
biomesoplenty:persimmon, Persimmon
biomesoplenty:honeycomb, Empty Honeycomb
biomesoplenty:filled_honeycomb, Filled Honeycomb
biomesoplenty:shroompowder, Shroom Powder
biomesoplenty:ricebowl, Bowl of Rice
biomesoplenty:blue_dye, Blue Dye
biomesoplenty:brown_dye, Brown Dye
biomesoplenty:green_dye, Green Dye
biomesoplenty:white_dye, White Dye
biomesoplenty:black_dye, Black Dye
biomesoplenty:earth, Earth
extrautils2:snowglobe:0, Magical Snow Globe
extrautils2:snowglobe:1, Magical Snow Globe
extrautils2:wateringcan, Watering Can
extrautils2:itemcreativedestructionwand, Creative Destruction Wand
extrautils2:unstableingots:0, Unstable Ingot
extrautils2:unstableingots:1, Stable-'Unstable Nugget'
extrautils2:unstableingots:2, Stable-'Unstable Ingot'
extrautils2:itembuilderswand, Builders Wand
extrautils2:itemdestructionwand, Destruction Wand
extrautils2:itemcreativebuilderswand, Creative Builders Wand
extrautils2:soundmuffler, Sound Muffler
extrautils2:enderlilly, Ender Lilly
extrautils2:decorativesolidwood:0, Magical Planks
extrautils2:decorativesolidwood:1, Magical Wood
extrautils2:decorativesolidwood:2, Diagonal Wood
extrautils2:trashcan, Trash Can
extrautils2:trashcanfluid, Trash Can (Fluid)
extrautils2:trashcanenergy, Trash Can (Energy)
extrautils2:angelblock, Angel Block
extrautils2:passivegenerator:0, Solar Panel
extrautils2:passivegenerator:1, Lunar Panel
extrautils2:passivegenerator:2, Lava Mill
extrautils2:passivegenerator:3, Water Mill
extrautils2:passivegenerator:4, Wind Mill
extrautils2:passivegenerator:5, Fire Mill
extrautils2:passivegenerator:6, Creative Mill
extrautils2:passivegenerator:7, Manual Mill
extrautils2:passivegenerator:8, Dragon Egg Mill
extrautils2:supermobspawner, Resturbed Mob Spawner
extrautils2:redstoneclock, Redstone Clock
extrautils2:compressedcobblestone:0, Compressed Cobblestone
extrautils2:compressedcobblestone:1, Double Compressed Cobblestone
extrautils2:compressedcobblestone:2, Triple Compressed Cobblestone
extrautils2:compressedcobblestone:3, Quadruple Compressed Cobblestone
extrautils2:compressedcobblestone:4, Quintuple Compressed Cobblestone
extrautils2:compressedcobblestone:5, Sextuple Compressed Cobblestone
extrautils2:compressedcobblestone:6, Septuple Compressed Cobblestone
extrautils2:compressedcobblestone:7, Octuple Compressed Cobblestone
extrautils2:compresseddirt:0, Compressed Dirt
extrautils2:compresseddirt:1, Double Compressed Dirt
extrautils2:compresseddirt:2, Triple Compressed Dirt
extrautils2:compresseddirt:3, Quadruple Compressed Dirt
extrautils2:compressedsand:0, Compressed Sand
extrautils2:compressedsand:1, Double Compressed Sand
extrautils2:compressedgravel:0, Compressed Gravel
extrautils2:compressedgravel:1, Double Compressed Gravel
extrautils2:compressednetherrack:0, Compressed Netherrack
extrautils2:compressednetherrack:1, Double Compressed Netherrack
extrautils2:compressednetherrack:2, Triple Compressed Netherrack
extrautils2:compressednetherrack:3, Quadruple Compressed Netherrack
extrautils2:compressednetherrack:4, Quintuple Compressed Netherrack
extrautils2:compressednetherrack:5, Sextuple Compressed Netherrack
extrautils2:glasscutter, Glass Cutter
extrautils2:endershard, Ender Shard
extrautils2:redorchid, Red Orchid
extrautils2:sickle_wood, Wooden Sickle
extrautils2:sickle_stone, Stone Sickle
extrautils2:sickle_iron, Iron Sickle
extrautils2:sickle_gold, Golden Sickle
extrautils2:sickle_diamond, Diamond Sickle
extrautils2:poweroverload, Power Overload
extrautils2:resonator, Resonator
extrautils2:suncrystal, Sun Crystal
extrautils2:spotlight, Spotlight
extrautils2:screen, Screen
extrautils2:decorativesolid:0, Border Stone
extrautils2:decorativesolid:1, Crossed Stone
extrautils2:decorativesolid:2, Polished Stone
extrautils2:decorativesolid:3, Stoneburnt
extrautils2:decorativesolid:4, Sandy Glass
extrautils2:decorativesolid:5, Truchet
extrautils2:decorativesolid:6, Blue Quartz
extrautils2:decorativesolid:7, Quartzburnt
extrautils2:decorativesolid:8, Rainbow Stone
extrautils2:ingredients:0, Resonating Redstone Crystal
extrautils2:ingredients:1, Redstone Gear
extrautils2:ingredients:2, Eye of Redstone
extrautils2:ingredients:3, Lunar Reactive Dust
extrautils2:ingredients:4, Red Coal
extrautils2:ingredients:5, Moon Stone
extrautils2:ingredients:6, Upgrade Speed
extrautils2:ingredients:7, Upgrade Stack
extrautils2:ingredients:8, Upgrade Mining
extrautils2:ingredients:9, Upgrade Base
extrautils2:ingredients:10, Drop of Evil
extrautils2:ingredients:11, Demon Ingot
extrautils2:ingredients:12, Enchanted Ingot
extrautils2:ingredients:13, Wireless RF Heating Coil
extrautils2:ingredients:14, Blue Dye
extrautils2:ingredients:15, Upgrade Speed (Magical)
extrautils2:ingredients:16, Upgrade Speed (Ultimate)
extrautils2:ingredients:17, Evil Infused Iron Ingot
extrautils2:goldenlasso:0, Golden Lasso
extrautils2:goldenlasso:1, Cursed Lasso
extrautils2:chickenring:0, Chicken Wing Ring
extrautils2:chickenring:1, Ring of the Flying Squid
extrautils2:angelring:0, Angel Ring
extrautils2:angelring:1, Angel Ring
extrautils2:angelring:2, Angel Ring
extrautils2:angelring:3, Angel Ring
extrautils2:angelring:4, Angel Ring
extrautils2:angelring:5, Angel Ring
extrautils2:powermanager, Power Manager
extrautils2:bagofholding, Bag Of Holding
extrautils2:decorativeglass:0, Thickened Glass
extrautils2:decorativeglass:1, Thickened Glass (Bordered)
extrautils2:decorativeglass:2, Thickened Glass (Patterned)
extrautils2:decorativeglass:3, Dark Glass
extrautils2:decorativeglass:4, Glowing Glass
extrautils2:decorativeglass:5, Redstone Glass
extrautils2:ineffableglass:0, Ethereal Glass
extrautils2:ineffableglass:1, Reverse Ethereal Glass
extrautils2:ineffableglass:2, Ineffable Glass
extrautils2:ineffableglass:3, Dark Ineffable Glass
extrautils2:pipe, Transfer Pipe
extrautils2:playerchest, Player Chest
extrautils2:wrench, Wrench
extrautils2:book, Extra Utilities 2 Manual
extrautils2:filter, Filter
extrautils2:filterfluids, Filter Fluids
extrautils2:grocket:0, Transfer Node (Items)
extrautils2:grocket:1, Transfer Filter
extrautils2:grocket:2, Transfer Node (Fluids)
extrautils2:grocket:3, Retrieval Node (Items)
extrautils2:grocket:4, Retrieval Node (Fluids)
extrautils2:grocket:5, Transfer Pipe Filter
extrautils2:grocket:6, Transfer Node (Energy)
extrautils2:indexer, Indexer
extrautils2:indexerremote, Indexer Remote
extrautils2:scanner, Scanner
extrautils2:user, Mechanical User
extrautils2:klein:0, Klein Bottle
extrautils2:drum:0, Stone Drum
extrautils2:drum:1, Iron Drum
extrautils2:drum:2, Reinforced Large Drum
extrautils2:drum:3, Demonically Gargantuan Drum
extrautils2:drum:4, Creative Drum
extrautils2:machine:0, Machine Block
extrautils2:machine:0, Furnace
extrautils2:machine:0, Crusher
extrautils2:machine:0, Enchanter
extrautils2:machine:0, Survival Generator
extrautils2:machine:0, Furnace Generator
extrautils2:machine:0, Culinary Generator
extrautils2:machine:0, Magmatic Generator
extrautils2:machine:0, Heated Redstone Generator
extrautils2:machine:0, Ender Generator
extrautils2:machine:0, Potion Generator
extrautils2:machine:0, Pink Generator
extrautils2:machine:0, Overclocked Generator
extrautils2:machine:0, Explosive Generator
extrautils2:machine:0, Netherstar Generator
extrautils2:machine:0, Halitosis Generator
extrautils2:machine:0, Frosty Generator
extrautils2:machine:0, Death Generator
extrautils2:machine:0, Dischantment Generator
extrautils2:machine:0, Slimey Generator
extrautils2:teleporter:0, Overworld Portal
extrautils2:teleporter:1, Deep Dark Portal
extrautils2:powertransmitter, Wireless RF Transmitter
extrautils2:powerbattery, Wireless RF Battery
extrautils2:spike_wood, Wooden Spikes
extrautils2:spike_stone, Stone Spikes
extrautils2:spike_iron, Iron Spikes
extrautils2:spike_gold, Golden Spikes
extrautils2:spike_diamond, Diamond Spikes
extrautils2:spike_creative, Creative Spikes
extrautils2:redstonelantern, Redstone Lantern
extrautils2:largishchest, Slightly-Larger Chest
extrautils2:rainbowgenerator:0, Rainbow Generator!
extrautils2:rainbowgenerator:1, Rainbow Generator (bottom half)
extrautils2:rainbowgenerator:2, Rainbow Generator (top half)
extrautils2:magicapple, Magical Apple
extrautils2:simpledecorative:0, Block of Enchanted Metal
extrautils2:simpledecorative:1, Block of Demon Metal
extrautils2:simpledecorative:2, Block of Evil Infused Iron
extrautils2:creativeenergy, Creative Energy Source
extrautils2:creativeharvest, Creative Harvest
extrautils2:trowel, Trowel
extrautils2:terraformer:0, Terraformer
extrautils2:terraformer:1, Antenna
extrautils2:terraformer:2, Humidifier
extrautils2:terraformer:3, Dehumidifier
extrautils2:terraformer:4, Heater
extrautils2:terraformer:5, Cooler
extrautils2:terraformer:6, Dehostilifier
extrautils2:terraformer:7, Magic Absorbtion
extrautils2:terraformer:8, Magic Infuser
extrautils2:terraformer:9, Climograph Base Unit
extrautils2:trashchest, Trash Chest
extrautils2:opinium:0, Opinium Core (Pathetic)
extrautils2:opinium:1, Opinium Core (Mediocre)
extrautils2:opinium:2, Opinium Core (Passable)
extrautils2:opinium:3, Opinium Core (Decent)
extrautils2:opinium:4, Opinium Core (Good)
extrautils2:opinium:5, Opinium Core (Damn Good)
extrautils2:opinium:6, Opinium Core (Amazing)
extrautils2:opinium:7, Opinium Core (Inspiring)
extrautils2:opinium:8, Opinium Core (Perfected)
extrautils2:lawsword, Kikoku
extrautils2:flattransfernode:0, Flat Transfer Node (Items)
extrautils2:flattransfernode:1, Flat Transfer Node (Fluids)
extrautils2:analogcrafter, Analog Crafter
extrautils2:decorativebedrock:0, Bedrock Bricks
extrautils2:decorativebedrock:1, Bedrock Slabs
extrautils2:decorativebedrock:2, Bedrock Cobblestone
extrautils2:compoundbow, Compound Bow
extrautils2:fireaxe, Fire Axe
extrautils2:interactionproxy, Ender Porcupine
extrautils2:luxsaber:0, Lux Saber
extrautils2:luxsaber:0, Lux Saber
extrautils2:luxsaber:1, Lux Saber
extrautils2:luxsaber:1, Lux Saber
extrautils2:luxsaber:2, Lux Saber
extrautils2:luxsaber:2, Lux Saber
extrautils2:luxsaber:3, Lux Saber
extrautils2:luxsaber:3, Lux Saber
extrautils2:luxsaber:4, Lux Saber
extrautils2:luxsaber:4, Lux Saber
extrautils2:luxsaber:5, Lux Saber
extrautils2:luxsaber:5, Lux Saber
extrautils2:luxsaber:6, Lux Saber
extrautils2:luxsaber:6, Lux Saber
extrautils2:luxsaber:7, Lux Saber
extrautils2:luxsaber:7, Lux Saber
extrautils2:ironwood_leaves:0, Ferrous-Juniper Leaves
extrautils2:ironwood_leaves:1, Burnt Ferrous-Juniper Leaves
extrautils2:ironwood_log:0, Ferrous-Juniper Log
extrautils2:ironwood_log:1, Ferrous-Juniper Log
extrautils2:ironwood_sapling:0, Ferrous-Juniper Sapling
extrautils2:ironwood_sapling:1, Dead Ferrous-Juniper Sapling
extrautils2:ironwood_planks:0, Ferrous-Juniper Planks
extrautils2:ironwood_planks:1, Raw Ferrous-Juniper Planks
gravisuite:advancedlappack, gravisuite.advancedLappack.name
gravisuite:advancedjetpack, gravisuite.advancedJetpack.name
gravisuite:advancednanochestplate, gravisuite.advancedNanoChestplate.name
gravisuite:ultimatelappack, gravisuite.ultimateLappack.name
gravisuite:gravichestplate, gravisuite.graviChestplate.name
gravisuite:advanceddrill, gravisuite.advancedDrill.name
gravisuite:advancedchainsaw, gravisuite.advancedChainsaw.name
gravisuite:gravitool, gravisuite.graviTool.name
gravisuite:vajra, gravisuite.vajra.name
gravisuite:crafting:0, Superconductor Cover
gravisuite:crafting:1, Superconductor
gravisuite:crafting:2, Cooling Core
gravisuite:crafting:3, Gravitation Engine
gravisuite:crafting:4, Magnetron
gravisuite:crafting:5, Vajra Core
gravisuite:crafting:6, Engine Booster
thermaldynamics:duct_0:0, Leadstone Fluxduct
thermaldynamics:duct_0:1, Hardened Fluxduct
thermaldynamics:duct_0:2, Redstone Energy Fluxduct
thermaldynamics:duct_0:3, Signalum Fluxduct
thermaldynamics:duct_0:4, Resonant Fluxduct
thermaldynamics:duct_0:5, Cryo-Stabilized Fluxduct
thermaldynamics:duct_0:6, Redstone Energy Fluxduct (Empty)
thermaldynamics:duct_0:7, Signalum Fluxduct (Empty)
thermaldynamics:duct_0:8, Resonant Fluxduct (Empty)
thermaldynamics:duct_0:9, Cryo-Stabilized Fluxduct (Empty)
thermaldynamics:duct_16:0, Fluiduct
thermaldynamics:duct_16:1, Fluiduct (Opaque)
thermaldynamics:duct_16:2, Hardened Fluiduct
thermaldynamics:duct_16:3, Hardened Fluiduct (Opaque)
thermaldynamics:duct_16:4, Signalum-Plated Fluiduct
thermaldynamics:duct_16:5, Signalum-Plated Fluiduct (Opaque)
thermaldynamics:duct_16:6, Super-Laminar Fluiduct
thermaldynamics:duct_16:7, Super-Laminar Fluiduct (Opaque)
thermaldynamics:duct_32:0, Vacuum Itemduct
thermaldynamics:duct_32:0, Dense Itemduct
thermaldynamics:duct_32:0, Itemduct
thermaldynamics:duct_32:1, Vacuum Itemduct (Opaque)
thermaldynamics:duct_32:1, Dense Itemduct (Opaque)
thermaldynamics:duct_32:1, Itemduct (Opaque)
thermaldynamics:duct_32:2, Vacuum Impulse Itemduct
thermaldynamics:duct_32:2, Dense Impulse Itemduct
thermaldynamics:duct_32:2, Impulse Itemduct
thermaldynamics:duct_32:3, Vacuum Impulse Itemduct (Opaque)
thermaldynamics:duct_32:3, Dense Impulse Itemduct (Opaque)
thermaldynamics:duct_32:3, Impulse Itemduct (Opaque)
thermaldynamics:duct_32:4, Vacuum Signalum-Plated Itemduct
thermaldynamics:duct_32:4, Dense Signalum-Plated Itemduct
thermaldynamics:duct_32:4, Signalum-Plated Itemduct
thermaldynamics:duct_32:5, Vacuum Signalum-Plated Itemduct (Opaque)
thermaldynamics:duct_32:5, Dense Signalum-Plated Itemduct (Opaque)
thermaldynamics:duct_32:5, Signalum-Plated Itemduct (Opaque)
thermaldynamics:duct_32:6, Vacuum Signalum-Plated Impulse Itemduct
thermaldynamics:duct_32:6, Dense Signalum-Plated Impulse Itemduct
thermaldynamics:duct_32:6, Signalum-Plated Impulse Itemduct
thermaldynamics:duct_32:7, Vacuum Signalum-Plated Impulse Itemduct (Opaque)
thermaldynamics:duct_32:7, Dense Signalum-Plated Impulse Itemduct (Opaque)
thermaldynamics:duct_32:7, Signalum-Plated Impulse Itemduct (Opaque)
thermaldynamics:duct_48:0, Structuralduct
thermaldynamics:duct_64:0, Viaduct
thermaldynamics:duct_64:1, Long Range Viaduct
thermaldynamics:duct_64:2, Long Range Linking Viaduct
thermaldynamics:duct_64:3, Viaduct (Untreated)
thermaldynamics:servo:0, Servo
thermaldynamics:servo:1, Hardened Servo
thermaldynamics:servo:2, Reinforced Servo
thermaldynamics:servo:3, Signalum Servo
thermaldynamics:servo:4, Resonant Servo
thermaldynamics:filter:0, Filter
thermaldynamics:filter:1, Hardened Filter
thermaldynamics:filter:2, Reinforced Filter
thermaldynamics:filter:3, Signalum Filter
thermaldynamics:filter:4, Resonant Filter
thermaldynamics:retriever:0, Retriever
thermaldynamics:retriever:1, Hardened Retriever
thermaldynamics:retriever:2, Reinforced Retriever
thermaldynamics:retriever:3, Signalum Retriever
thermaldynamics:retriever:4, Resonant Retriever
thermaldynamics:relay:0, Redstone Relay
thermaldynamics:cover:0, Stone Cover
thermaldynamics:cover:0, Granite Cover
thermaldynamics:cover:0, Polished Granite Cover
thermaldynamics:cover:0, Diorite Cover
thermaldynamics:cover:0, Polished Diorite Cover
thermaldynamics:cover:0, Andesite Cover
thermaldynamics:cover:0, Polished Andesite Cover
thermaldynamics:cover:0, Grass Block Cover
thermaldynamics:cover:0, Dirt Cover
thermaldynamics:cover:0, Coarse Dirt Cover
thermaldynamics:cover:0, Podzol Cover
thermaldynamics:cover:0, Cobblestone Cover
thermaldynamics:cover:0, Oak Wood Planks Cover
thermaldynamics:cover:0, Spruce Wood Planks Cover
thermaldynamics:cover:0, Birch Wood Planks Cover
thermaldynamics:cover:0, Jungle Wood Planks Cover
thermaldynamics:cover:0, Acacia Wood Planks Cover
thermaldynamics:cover:0, Dark Oak Wood Planks Cover
thermaldynamics:cover:0, Bedrock Cover
thermaldynamics:cover:0, Sand Cover
thermaldynamics:cover:0, Red Sand Cover
thermaldynamics:cover:0, Gravel Cover
thermaldynamics:cover:0, Gold Ore Cover
thermaldynamics:cover:0, Iron Ore Cover
thermaldynamics:cover:0, Coal Ore Cover
thermaldynamics:cover:0, Oak Wood Cover
thermaldynamics:cover:0, Spruce Wood Cover
thermaldynamics:cover:0, Birch Wood Cover
thermaldynamics:cover:0, Jungle Wood Cover
thermaldynamics:cover:0, Oak Leaves Cover
thermaldynamics:cover:0, Spruce Leaves Cover
thermaldynamics:cover:0, Birch Leaves Cover
thermaldynamics:cover:0, Jungle Leaves Cover
thermaldynamics:cover:0, Sponge Cover
thermaldynamics:cover:0, Wet Sponge Cover
thermaldynamics:cover:0, Glass Cover
thermaldynamics:cover:0, Lapis Lazuli Ore Cover
thermaldynamics:cover:0, Lapis Lazuli Block Cover
thermaldynamics:cover:0, Sandstone Cover
thermaldynamics:cover:0, Chiseled Sandstone Cover
thermaldynamics:cover:0, Smooth Sandstone Cover
thermaldynamics:cover:0, White Wool Cover
thermaldynamics:cover:0, Orange Wool Cover
thermaldynamics:cover:0, Magenta Wool Cover
thermaldynamics:cover:0, Light Blue Wool Cover
thermaldynamics:cover:0, Yellow Wool Cover
thermaldynamics:cover:0, Lime Wool Cover
thermaldynamics:cover:0, Pink Wool Cover
thermaldynamics:cover:0, Gray Wool Cover
thermaldynamics:cover:0, Light Gray Wool Cover
thermaldynamics:cover:0, Cyan Wool Cover
thermaldynamics:cover:0, Purple Wool Cover
thermaldynamics:cover:0, Blue Wool Cover
thermaldynamics:cover:0, Brown Wool Cover
thermaldynamics:cover:0, Green Wool Cover
thermaldynamics:cover:0, Red Wool Cover
thermaldynamics:cover:0, Black Wool Cover
thermaldynamics:cover:0, Block of Gold Cover
thermaldynamics:cover:0, Block of Iron Cover
thermaldynamics:cover:0, Stone Slab Cover
thermaldynamics:cover:0, Sandstone Slab Cover
thermaldynamics:cover:0, Cobblestone Slab Cover
thermaldynamics:cover:0, Bricks Slab Cover
thermaldynamics:cover:0, Stone Bricks Slab Cover
thermaldynamics:cover:0, Nether Brick Slab Cover
thermaldynamics:cover:0, Quartz Slab Cover
